Days since last sale,Frequency of sale
13,230
16,224
15,221
14,202
16,198
14,180
18,178
14,176
13,176
17,175
18,175
16,172
19,167
17,165
16,155
14,230
8,224
5,221
2,202
3,198
6,180
6,178
2,176
6,176
4,175
5,175
3,172
6,167
6,165
7,155
3,124
9,124
8,124
7,123
13,12
230,16
224,15
221,14
202,16
198,14
180,18
178,14
176,13
176,17
175,18
175,16
172,19
167,17
165,16
155,14
230,6
8,4
9,10
8,7
9,9
9,10
3,9
5,6
7,9
7,15
2,17
1,16
9,7
6,8
8,13
6,8
7,12
7,14
4,14
6,13
2,13
9,10
6,8
4,8
11,14
6,12
4,6
7,8
5,8
5,5
6,8
5,8
3,9
60,8
59,13
59,16
59,15
56,14
56,16
55,14
52,18
51,14
45,13
42,17
39,18
37,16
32,19
31,17
26,16
20,14
